isim,enlem,boylam,osm_id
Kozlar Çarşısı,39.9026134,32.8614313,75316307
Aynalı Çarşı,39.9061957,32.8610366,247208696
Tunalı Pasajı,39.9056261,32.8608243,247208709
mutsan mutfak banyo,39.9562569,32.9027458,2090182556
Yunus Market,40.0262921,32.8967474,2276777854
LC Waikiki,40.0271332,32.8967702,2276777855
Turan Market,39.9730206,32.6995927,3510688007
Özgür Market,39.9728863,32.6996591,3510688008
Dikmen Pazarı,39.8831361,32.832646,3909490148
Eser İşhanı ve Çarşısı,39.9435433,32.8514309,3969830707
Ev Shop,39.9996329,32.8692517,4077691047
Çelikler İş Merkezi,39.9060133,32.8609872,4617717384
Zafer Çarşısı,39.9246405,32.8552911,4751067979
Yunus Emre Çarşısı,39.9536979,32.8609132,4931718437
Toprak Market,39.9896068,32.8230596,5509335273
Batıkent Sosyete Pazarı,39.9694975,32.7254335,6313796737
Metro Center Alışveriş Merkezi,39.9694025,32.7257166,6315799144
Kayalar Market,39.8815167,32.8732603,6321697606
Limon Bazaar,39.9192261,32.8555771,6420538086
Altunbilekler,39.9009682,32.8055744,6477840768
Soykan Market,39.9004434,32.8048669,6477840769
Nişantaşı Bazaar,39.9007407,32.8061115,6477840770
Şok Market,39.8963081,32.8062046,6481493925
Bildirici,39.9529212,32.7248118,6712029722
İtfaiye Meydanı,39.9348906,32.8576586,8147301794
Ümitköy Site Çarşısı,39.9001028,32.7060653,8727253380
Vega Cadde,39.9461724,32.7155737,8960423603
Özcan Market,39.8961952,32.8175505,12708155701
Ambrosia,39.9074572,32.8075192,13292008
Kardelen Pazar Yeri,39.9732553,32.7046471,37731165
Çarşı,39.8925365,32.7883429,57910019
Ansera AVM,39.8893707,32.8500218,67522909
Karum,39.900406,32.8634804,67522918
Armada AVM 1,39.9126672,32.8088831,130536412
Via Flat İş ve Alışveriş Merkezi,39.9143842,32.808518,130536414
Çayyolu Pazar Alanı,39.8808943,32.6875166,153507343
Arcadium AVM,39.8827804,32.6857282,172594505
Evpark AVM,40.0235309,32.9197813,207570282
Gordion AVM,39.9003204,32.6910222,222694404
Atlantis City AVM,39.9708715,32.7147439,223521736
Erdem Çarşısı,39.9728933,32.7167221,223561022
Küçükesat Semt Hali ve Çarşısı,39.9067813,32.8681003,226056806
Antares AVM,39.9702885,32.8211112,231372470
Emek Pazarı,39.9256768,32.8170176,232172654
Sokullu Semt Pazarı,39.8830628,32.8329191,241259723
Next Level AVM,39.9110737,32.8126823,246515286
FTZ Alışveriş Merkezi,39.9766784,32.8673727,263990054
Ankuva AVM,39.8837066,32.7560383,267154216
Bilkent Center,39.8839973,32.7585325,267154230
Ayyıldız Kapalı Pazar Yeri,40.027129,32.8896407,272314706
Pursaklar Kapalı Pazar Yeri,40.0347283,32.9011182,274395493
