isim,enlem,boylam
Atakule,39.88611,32.85611
ANKAmall,39.95111,32.83167
Armada Alışveriş ve İş Merkezi,39.9125,32.80972
Arcadium Alışveriş Merkezi,39.8825,32.68556
Karum Alışveriş Merkezi,39.90056,32.86278
Kızılay AVM,39.92139,32.85333
Metromall AVM,39.98333,32.61056
365 Alışveriş Merkezi,39.87602,32.86993
Antares AVM,39.96974,32.82066
Atlantis AVM,39.97076,32.71485
Bilkent Center,39.88405,32.75859
Kuzu Effect AVM,39.84586,32.82851
Next Level AVM,39.91107,32.81268
One Tower AVM,39.84969,32.83561
Optimum Outlet AVM,39.96538,32.63181
ATG (Ankara Tren Garı) AVM,39.93411,32.84402
Podium AVM,39.975319,32.763401
