isim,enlem,boylam
Butikek,39.9568922,32.7032936
Merkez kantin,39.935846,32.831207
Keyfimce,39.9308401,32.8177905
CAFE BOSTAN,39.9474342,32.7589669
Genç Limos Cafe,39.9668568,32.7144399
Mado,39.9704682,32.7144408
Starbucks,39.9702242,32.7155224
Big Oven,39.9868795,32.8027203
Seval,39.9896817,32.8005358
Lizbon Cafe,39.9338919,32.8229252
Lidya Cafe,39.9749035,32.8049868
pastane,39.992606,32.7999563
Adıyaman çiğ köfte,39.9897507,32.8004967
Kahve Şöleni,39.9693137,32.7837379
illy Espressamente,39.9127246,32.8099022
Zeynel,39.9497308,32.8312925
Zeynel,39.9497431,32.8317726
Starbucks,39.9497411,32.8321186
Mado,39.9825748,32.689106
Süvari Kahvesi,39.9695652,32.7179879
Kare Çarşı,39.9327474,32.8218752
Yemekhane,39.9356644,32.8297027
Küçük Cafe,39.958786,32.8353121
Bosco,39.9140996,32.8079705
% Arabica,39.9602176,32.711304
Daphne,39.959519,32.7133754
Jojowa,39.9596862,32.713481
Şampion Döner,39.9919284,32.799959
Mado,39.9618619,32.7696045
Starbucks,39.9618981,32.7711859
Demlik,39.9623015,32.7697595
Simitçi Baba,39.9613382,32.781513
Kahvehall,39.958136,32.7909482
Starbucks,39.9602017,32.7113677
% Arabica,39.9581163,32.816934
oskar kafe,39.969701,32.8349871
Hamur House,39.9582041,32.7905139
Toros Dondurma,39.9826417,32.7647517
Vatan Fırın,39.9786845,32.7374833
Somuncu Dede,39.9870919,32.7426073
Mackbear Coffee,39.9702683,32.7864665
Cafe 12,39.9685285,32.7842442
Colombia Coffee Batıkent,39.9684906,32.7170715
Coffee 1919 Kocatepe Batıkent,39.9676361,32.7181969
Cadde Gurme,39.9668045,32.790751
PaşaZade Kahve Evi,39.9663095,32.792206
Demirel Kıraathanesi,39.9680966,32.785899
Çalı Kafe,39.9702354,32.7861558
Coa & Co,39.9676305,32.787173
Coffee Manja,39.9919236,32.7465906
İvogsan Simitçisi,39.9880321,32.7419061
Cafe Caravana,39.9732619,32.739153
Stella Simit Coffee,39.9692418,32.7839864
BelPa Cofee,39.9642505,32.7108646
Halk Ekmek Kafe,39.9693387,32.7121894
Ankara Büyükşehir Belediyesi,39.9203889,32.8094013
Coffe Lab Batıkent,39.9706329,32.7139679
BelPa Cofee,39.963486,32.7107795
Chifin Cafe Restoran,39.9802138,32.7585833
Çadır Kafe,39.9635819,32.701696
