isim,enlem,boylam,osm_id
Selda Yıldırım Eczanesi,39.885072,32.8527241,60580785
Artı Eczanesi,39.9185428,32.8277086,60582738
Başak Eczanesi,39.916786,32.8201445,62673837
Köşk Eczanesi,39.8852761,32.8509786,62674136
Özsoy Eczanesi,39.8833984,32.8849855,62674280
Emre Eczanesi,39.8780939,32.8595785,62674288
Fırat Ezcanesi,39.9056555,32.860797,75308671
Çankaya Sağlık Eczanesi,39.9048699,32.8636913,75319371
Bilinmeyen Pharmacy,39.8944023,32.8565366,75343349
Rezzan Eczanesi صيدليه,39.8918175,32.8717066,75343399
Bilinmeyen Pharmacy,39.875454,32.8615561,75343501
Levent Eczanesi,39.8703342,32.8623987,75343528
Venüs,39.8973185,32.8799691,83513982
Köroğlu Eczanesi,39.8953425,32.8782776,83522258
Türközü,39.9103966,32.8788556,83537339
Reyhan,39.9219296,32.870846,83537342
Günal Eczanesi,39.9140679,32.8694116,83537480
Bilir,39.906446,32.8663637,83537481
Yenianıl,39.9059805,32.8663218,83537482
Altan,39.9061719,32.8670242,83537484
Ülkü'nün Eczanesi,39.9052569,32.8643494,83537486
Tunalı Yaşam Eczanesi,39.906305,32.8607734,93807644
Eczane Fikret,39.9044911,32.8605889,93807658
Park Eczanesi,39.9027245,32.860258,93807714
Mataracı Eczanesi,39.8962962,32.7044112,112648465
Nazar Eczanesi,39.9069742,32.871915,112781545
Ergün Eczanesi,39.8843712,32.8763434,143878531
Beyza Eczanesi,39.8745478,32.8657543,143928548
Soysal Eczanesi,39.8837924,32.856634,164637895
Derya Eczanesi,39.9097985,32.8595336,247208518
Eczane Selen,39.9088141,32.8599609,247208523
Bulvar Eczanesi,39.9003331,32.8598049,247208750
Eczane Orkide,39.8939162,32.8564968,247208786
Eczane Atabek,39.8937316,32.8571545,247208787
Eti,39.9169821,32.8269055,309677175
Eczane Yaşam,39.8864959,32.8475947,310402867
Güzelkent Eczanesi,39.8873954,32.8473041,403060075
İlk Umut Eczanesi,39.9781675,32.7084657,442691649
Bayrak Eczanesi,39.8532679,32.8489702,447991879
Özge Eczanesi,39.8924906,32.7885046,501705595
Sevim Ünal Eczanesi,39.9023004,32.8532033,529107610
İpeğim Eczanesi,39.9029261,32.852709,529107619
Ortadoğu Eczanesi,39.8921058,32.7878662,720717538
Cengiz Eczanesi,39.9662501,32.7031633,721013804
Girayhan Eczanesi,39.9642849,32.7034196,721013813
Pera Eczanesi,39.8959487,32.8787596,814921357
Lotus Eczanesi,39.8909315,32.8748882,828617438
Cepa Eczanesi,39.910751,32.7787853,856864813
Naz Eczanesi,39.9026406,32.8616042,940494170
Mavi Eczane,39.935125,32.882628,961281779
Burak Medikal,39.9349875,32.8828041,961281824
Yeni Guney Eczanesi,39.93495,32.8826218,961282002
Selim Eczanesi,39.962141,32.8879303,1198272192
Dostluk Eczanesi,39.9340137,32.8957224,1199371110
Miray Eczanesi,39.8869415,32.8333531,1655356041
Anemon Eczanesi,39.9127634,32.7601063,1747933490
Ayşenur Eczanesi,39.9003792,32.8026711,1854453612
Perihan Eczanesi,39.9641042,32.8109799,1863718198
Ömür Eczanesi,39.8681627,32.7491716,2052458520
Ercan Eczanesi,39.8951683,32.8558852,2188606552
Bilkent Eczanesi,39.8815403,32.7597676,2228429985
Berna Mataracı Eczanesi,39.874175,32.6884334,2316834457
Perol Eczanesi,39.9011331,32.8758548,2338768846
Ulusu Eczanesi,39.9362551,32.8984203,2345219397
Atalay Eczanesi,39.9797691,32.8350032,2402820849
Eczane Kozanoğlu,39.9793589,32.8367868,2402820852
Ebrar Eczanesi,39.9788735,32.8371476,2402820853
Şimşek Eczanesi,39.9050157,32.8538357,3152117151
Yeni Etimesgut Eczanesi,39.9460739,32.6677533,3713464496
Sayar Eczanesi,39.9461513,32.6673562,3713464505
Tarçın Eczanesi,39.9462387,32.6668139,3713464511
İdil Eczanesi,39.9462056,32.6670049,3713464512
Mutlu Eczanesi,39.946345,32.6658402,3713469069
İşmen Eczanesi,39.9459729,32.6649741,3713469083
Özipek Eczanesi,39.9925446,32.8013937,3889748631
Öz Melek Eczanesi,39.9909052,32.8242683,3889757320
Yiğitler Eczanesi,39.9909281,32.8245153,3889757321
Berra Eczanesi,39.9914982,32.8243487,3889758393
Şengün Eczanesi,39.9942743,32.8100942,3890719107
Pelay Eczanesi,39.9944074,32.8098948,3890730605
Başer Ecza Deposu,39.949764,32.896263,3894117039
Buğra Eczanesi,39.9560932,32.8536247,3932956783
Gökçen Eczanesi,39.9939014,32.8138973,4049174488
Oran Bayram Eczanesi,39.8530508,32.849946,4062544415
Talip Eczanesi,39.9704177,32.7804533,4072911743
Şifa Pınarı Eczanesi,39.970387,32.7805426,4072911744
Bulut Eczanesi,39.970367,32.7806181,4072911745
Bilge Şen Eczanesi,39.9695248,32.7831893,4072912904
Birinci Eczanesi,39.9694219,32.7835277,4072912918
Özkaya Eczanesi,39.969946,32.7868606,4072933524
Yeni Bilim Eczanesi,39.970077,32.7857182,4072933547
Yeni İnci Eczanesi,39.9735723,32.788388,4072933796
Kaşıkçı Eczanesi,39.977144,32.8042858,4072965384
Orkun Eczanesi,39.9740872,32.8104816,4072966309
Bostancı Eczanesi,39.9751904,32.8160054,4072966319
Semt Eczanesi,39.9749827,32.8160609,4072966325
Arslan Eczanesi,39.980045,32.8229405,4073048804
İrem Eczanesi,39.9806515,32.8225856,4073048806
Taylan Eczanesi,39.9829444,32.8203911,4073048817
Yeni Seval Eczanesi,39.9835861,32.8177668,4073048856
Ayvalı Eczanesi,39.9837321,32.8164449,4073049909
Baykoç Eczanesi,39.9705593,32.8347964,4074637703
İhtisas Eczanesi,39.971029,32.8334972,4074637752
Yeni Filiz Eczanesi,39.970761,32.8352202,4074637771
Haboğlu Eczanesi,39.9711009,32.8356602,4074637773
