isim,enlem,boylam
İlk Umut Eczanesi,39.9781675,32.7084657
Cengiz Eczanesi,39.9662501,32.7031633
Girayhan Eczanesi,39.9642849,32.7034196
Perihan Eczanesi,39.9641042,32.8109799
Talip Eczanesi,39.9704177,32.7804533
Şifa Pınarı Eczanesi,39.970387,32.7805426
Bulut Eczanesi,39.970367,32.7806181
Bilge Şen Eczanesi,39.9695248,32.7831893
Birinci Eczanesi,39.9694219,32.7835277
Özkaya Eczanesi,39.969946,32.7868606
Yeni Bilim Eczanesi,39.970077,32.7857182
Yeni İnci Eczanesi,39.9735723,32.788388
Kaşıkçı Eczanesi,39.977144,32.8042858
Orkun Eczanesi,39.9740872,32.8104816
Demetkent Ersan Eczanesi,39.9704228,32.799135
Şentepe Eczanesi,39.986776,32.7858023
Gülreyhan Eczanesi,39.9867075,32.7861536
Yeni Esin Eczanesi,39.9822113,32.7900143
Elvan Tuğba Eczanesi,39.9817432,32.7892741
Gülistan Eczanesi,39.9728077,32.790218
Akar Eczanesi,39.9730618,32.7904655
Edanur Eczanesi,39.9731656,32.7905613
Şark Eczanesi,39.9740165,32.7920388
Yeşil Doğa Eczanesi,39.9643565,32.7458698
Yeni Ömür Eczanesi,39.9673239,32.7461212
İlke Eczanesi,39.9686213,32.7463181
Ostim Meydan Eczanesi,39.9713725,32.7471645
Koç Ekim Eczanesi,39.9657277,32.7310383
Balım Eczanesi,39.9884812,32.6922686
Ihlamur Eczanesi,39.98793,32.6942917
Çakırlar Hayat Eczanesi,39.9939782,32.7006974
Yiğitin Eczanesi,39.9848734,32.7600493
Yeni Şahin Eczanesi,39.9837526,32.7632946
Yahyalar Eczanesi,39.9816341,32.7777701
Batı Eczanesi,39.9717494,32.6947984
Yeni Ertürk Eczanesi,39.9719194,32.6948474
Eryılmaz Eczanesi,39.9709012,32.8038971
Urankent Şeyma Eczanesi,39.9646908,32.7762128
Toprak Eczanesi,39.9601206,32.7910589
Botanik Park Eczanesi,39.9861153,32.6912607
Nebioğlu Eczanesi,40.0009008,32.6002121
Pınar Eczanesi,39.9641733,32.8008374
Ersoy Eczanesi,39.9437655,32.820805
Ebruli Eczanesi,39.960708,32.7251387
Ruşen Eczanesi,39.9537171,32.7849907
Ferda Eczanesi,39.9639068,32.8146815
Açelya Eczanesi,39.958717,32.7554694
Çalık Eczanesi,39.9694772,32.7823735
Elifsu Eczanesi,39.9637259,32.7885514
Yaren Eczanesi,39.9625829,32.810626
Emel Eczanesi,39.9504443,32.7278852
Yeni Hakan Eczanesi,39.9667552,32.8081216
Gökçe Ceren Eczanesi,39.9632198,32.7885707
Şeyda Eczanesi,39.9655078,32.805637
Apaydın Eczanesi,39.9432108,32.8182201
Başak Olgun Eczanesi,39.9540936,32.7272607
Ozanlar Eczanesi,39.9547539,32.737391
Nalan Eczanesi,39.9651505,32.7924049
Okan Eczanesi,39.9806029,32.8056457
Akgül Eczanesi,39.962254,32.6964498
Metro Eczanesi,39.9654556,32.794797
Albayrak Eczanesi,39.9681581,32.6983595
Melek Eczanesi,39.9898106,32.8004706
Dolunay Eczanesi,39.965526,32.792863
Ankara Dilek Eczanesi,39.9654638,32.7067704
Cemre Eczanesi,39.963534,32.788431
Özercan Eczanesi,39.9444383,32.8217189
Kübra Eczanesi,39.9714501,32.7916163
Yeni Bilir Eczanesi,39.9627503,32.788466
Türkan Eczanesi,39.9672125,32.7878702
Öz Vatan Eczanesi,39.9672387,32.7897035
Beştepe Şen Eczanesi,39.9237121,32.8053054
Aynur Eczanesi,39.9624216,32.7918743
Karşıyaka Eczanesi,39.9711592,32.7921349
Yeni Betül Eczanesi,39.9722081,32.8073652
Çalışkan Eczanesi,39.9711921,32.7916574
Pektaş Eczanesi,39.9632887,32.788341
Nergiz Eczanesi,39.965315,32.7833625
Yurtseven Sami Eczanesi,39.9620249,32.7808009
Subaşı Eczanesi,40.0366791,32.7669688
Yeni Yakacık Eczanesi,40.0367007,32.7670252
Nusret Eczanesi,39.9424849,32.815521
Yeni Melek Eczanesi,39.9298358,32.8149747
Güleç Eczanesi,39.9293617,32.8151526
İffet Eczanesi,39.9292691,32.8154477
Atlantis Eczanesi,39.970262,32.7147058
Candoğan Eczanesi,39.9931789,32.691497
Atasun Eczanesi,39.9932923,32.6915432
Eczane Mutlu,39.9769433,32.6903042
Pervin Eczanesi,39.9673602,32.7306671
Fidanboy Eczanesi,39.9701952,32.7262804
Beştepe Eczanesi,39.9231007,32.8058191
Ulaş Eczanesi,39.9559246,32.832709
Begümhan Eczanesi,39.9575345,32.833709
Tokgöz Eczanesi,39.9725036,32.7099718
Zambak Eczanesi,39.9834627,32.7492055
Nilsu Eczanesi,39.9804784,32.7501481
İvedik Bulvar Eczanesi,39.9912057,32.7466164
Ofim Eczanesi,39.9728115,32.7459915
Başaran Eczanesi,39.95518,32.7415821
Fora Eczanesi,39.9931861,32.7579958
Batı Alp Eczanesi,39.9614105,32.7403508
Büşra Eczanesi,39.9863606,32.7616636
Seval Eczanesi,39.9912148,32.7487297
Emrehan Eczanesi,39.9951978,32.7959997
Figen Eczanesi,39.9907078,32.798433
Gizem Eczanesi,39.9804115,32.8056244
Çağda Gizem Eczanesi,39.9839953,32.8085818
Yürekli Eczanesi,39.9936013,32.796474
İpek Yol Eczanesi,39.9900529,32.7974843
Yazgan Eczanesi,39.9835457,32.7967696
Sarıkaya Eczanesi,39.9821626,32.8052069
Özmen Eczanesi,39.9901996,32.7980773
Feyza Eczanesi,39.9838269,32.8002583
Merkez Eczanesi,39.9820672,32.8030788
Enise Eczanesi,39.9854285,32.7992915
Çamlıdere Eczanesi,39.9814727,32.8056702
Balım Eczanesi,39.9836705,32.8079037
Çağla Eczanesi,39.9951607,32.6928023
Funda İpek Eczanesi,39.995783,32.6973262
Arkadaş Eczanesi,39.9875186,32.6960497
Çakırlar Merkez Eczanesi,39.9857701,32.6951038
Pelinsu Eczanesi,39.9841646,32.6957141
Polen Eczanesi,39.9824403,32.6940662
Yeni Nil Eczanesi,39.9946157,32.7014982
Büyük Eczanesi,39.9892791,32.7075346
Çakırlar Eczanesi,39.9894609,32.7090675
Gaye Eczanesi,39.9894743,32.7094262
Yiğitler Eczanesi,39.9941536,32.7063884
Akkent Eczanesi,39.9908374,32.7084993
Melihan Eczanesi,39.9444515,32.8258734
Gazi Eczanesi,39.9426324,32.8138172
Yenimahalle Yılmaz Eczanesi,39.9583333,32.8175098
Nesli Eczanesi,39.9647501,32.8136762
Gülcan Eczanesi,39.965725,32.8109676
Yenimahalle Merkez Eczanesi,39.9660074,32.810775
Firdevs Eczanesi,39.9651328,32.8086108
Şahin Eczanesi,39.9657453,32.8088814
Avşar Eczanesi,39.9665902,32.8090627
Ankamall,39.9520834,32.8319238
Yöre Eczanesi,39.9424867,32.8131854
Mehmet Özer Eczanesi,39.9660032,32.8124214
Merih Eczanesi,39.9425299,32.8133649
Ayça Pekin Eczanesi,39.966037,32.8105087
Yeni Derman Eczanesi,39.9659813,32.8081225
Dilara Işık Eczanesi,39.9621791,32.8156477
Akşit Eczanesi,39.9653666,32.8118264
Meşe Eczanesi,39.9633159,32.8084581
Gala Cadde Eczanesi,39.9597839,32.7133623
Bereket Eczanesi,39.9555752,32.79998
Nazenin Eczanesi,39.9622456,32.7822498
Erol Eczanesi,39.9752041,32.78138
Nakipoğlu Eczanesi,39.9727623,32.7789855
Özevler Eczanesi,39.9718871,32.781193
Süleyman Eczanesi,39.9712195,32.7838811
Mert Eczanesi,39.9732659,32.7825978
Erk Eczanesi,39.9733521,32.7827483
Onur Erol Eczanesi,39.9697822,32.7809918
Yeni Gizem Eczanesi,39.9706723,32.7796348
Talip Eczanesi,39.9707082,32.7793697
Sevgin Eczanesi,39.9707328,32.7792912
Candan Eczanesi,39.9707012,32.7794708
Yeni Yenen Eczanesi,39.968191,32.7844531
Lokman Hekim Eczanesi,39.9671859,32.7836595
Antakya Eczanesi,39.9637553,32.7828483
Onur Eczanesi,39.9576822,32.766743
Demetevler Eczanesi,39.9632351,32.7805395
Rabia Tuğba Eczanesi,39.9666298,32.7730371
Arel Eczanesi,39.9624866,32.772861
Günhan Eczanesi,39.9606664,32.7682601
Podium Eczanesi,39.9628192,32.768137
Nisan Bir Eczanesi,39.9552619,32.7214244
Erval Eczanesi,39.9553061,32.7212959
Elif Aydın Eczanesi,39.9606532,32.716077
Yeni Nefes Eczanesi,39.9667001,32.719004
Meydan Batıkent Eczanesi,39.9688302,32.7175815
Nalan Semizler Eczanesi,39.9762651,32.7180006
Şans Eczanesi,39.9784536,32.7081324
Gönül Eczanesi,39.9731224,32.6996324
Kentkoop Büşra Eczanesi,39.9609646,32.7152724
Özgem Eczanesi,39.9648495,32.7184797
Funda Eczanesi,39.9674395,32.7161646
Gümüşler Eczanesi,39.9729727,32.7164556
Pamuk Eczanesi,39.9704838,32.7081983
Uygun Eczanesi,39.9671823,32.714374
Yurt,39.9784459,32.7087455
Pehlivan Eczanesi,39.9618604,32.7014771
Karanfil Eczanesi,39.9717965,32.730266
Filizsu Eczanesi,39.9672383,32.7226346
Batıkent Metro Eczanesi,39.9681273,32.7259601
Kağan Eczanesi,39.9697328,32.7249073
Asrın Eczanesi,39.9655017,32.72975
Büyük Merkez Eczanesi,39.9764546,32.7271072
Vera Eczanesi,39.9581213,32.7096973
Susam Eczanesi,39.9557984,32.707411
Ergazi Eczanesi,39.953542,32.712805
Yurtseven Fatih Eczanesi,39.9678025,32.7905369
Önder Eczanesi,39.9673416,32.7922325
Doğan Eczanesi,39.9683742,32.7898621
Yayla Eczanesi,39.9668324,32.7895155
Nur Furkan Eczanesi,39.9667279,32.7888837
Zeka Eczanesi,39.9807263,32.7252288
Yolcu Eczanesi,39.9830555,32.7767293
Yıldız Eczanesi,39.9787364,32.7795844
Güven Eczanesi,39.9799412,32.7788718
İclal Eczanesi,39.9826958,32.7769849
Sibel Çam Eczanesi,39.9828383,32.7768609
Mavi Gelincik Eczanesi,39.9829216,32.7768217
Çınar Eczanesi,39.9829876,32.7767914
Zek Eczanesi,39.9831784,32.6595639
Açelya Eczanesi,39.9587051,32.7553817
Ali Fuat Eczanesi,39.9469339,32.7628483
Çoruk Eczanesi,39.9688011,32.7879507
Doğa Eczanesi,39.9542562,32.7274524
Nesil Eczanesi,39.9543047,32.7273018
Dizdar Eczanesi,39.9550229,32.7297054
Aysel Eczanesi,39.9552634,32.7299839
Girişim Eczanesi,39.9607315,32.7248573
Baykal Eczanesi,39.9599,32.7925999
Yeni Vatan Eczanesi,39.9661202,32.7916559
Batıport Eczanesi,39.9634066,32.7356151
Adalet Eczanesi,39.9577137,32.7343989
Sare Eczanesi,40.0064705,32.6493627
Şule Delen Eczanesi,40.0036171,32.6403863
