isim,enlem,boylam
Cumhuriyet Fırını,39.9575254,32.7004355
Afiyet fırın,39.9921026,32.8000151
CANBERK GIDA,39.9494578,32.7681019
UNTAŞ GIDA,39.9494821,32.7686402
ÇİLEK,39.949117,32.7682999
Ankara Halk Ekmek Büfesi,39.9669132,32.7318211
Ankara Halk Ekmek Büfesi,39.968478,32.7264726
Ankara Halk Ekmek Büfesi,39.9706861,32.7459572
Künefeci Şahin Usta,39.9682698,32.7463362
Karafırın Unlu Mamuller,39.9557941,32.833223
Simitçi Dünyası,39.9546166,32.8314668
İsimsiz,39.9611671,32.7883448
Taksim Ekmek Fırını,39.9679256,32.7901523
Halk Ekmek,39.9533583,32.7928033
Çağlayan Fırın ve Unlu Mamüller,39.9659774,32.783241
İsimsiz,39.9661253,32.7035465
Bindiyar Unlu Mamüller,39.9751941,32.7870553
Vatan Fırın,39.9786845,32.7374833
Somuncu Dede,39.9870919,32.7426073
Gazı Fırın,39.9623957,32.702
Fırın 312,39.9620241,32.7914097
Hakiki Gümüşhane Ana Ekmeği,39.968476,32.7848958
Fırın Ankara,39.9682502,32.785458
Halk Ekmek,39.9670587,32.789825
Şimşek Fırın & Cafe,39.9661861,32.7914828
Oray Fırın,39.9696055,32.78685
Simit Dünyası,39.9696365,32.7860896
Avcıoğlu Fırın,39.9684913,32.788692
Ankara Halk Ekmek,39.9577993,32.7240149
Halk Ekmek,39.9578942,32.7349253
Göksun Fırın,40.0061476,32.6490691
