isim,enlem,boylam,osm_id
Başkent Üniversitesi Hastanesi,39.9254075,32.8319519,62673820
Çankaya Hastanesi,39.9047963,32.8633166,75319365
Özel Biltaş Böbrek Taşı Kırma Merkezi,39.9093866,32.8598732,247208522
Güzeltepe Semt Polikliniği,39.8863381,32.847987,310402871
Özel Denge İç Hastalıkları Merkezi,39.9043285,32.8664682,312779099
Semt Polikliniği,39.8932607,32.8796874,312788094
Ankara Universitesi Tip Fak. Kalp Merkezi,39.934893,32.882237,960175124
Ankara Numune Hastanesi Siteler,39.9572683,32.8953316,4230329694
Özel Kavaklıdere Umut Hastanesi,39.9064721,32.8635098,4333122824
Ankara Cerrahi Tıp Merkezi,39.8924972,32.8263122,4406513697
Bilinmeyen Hospital,39.9446624,32.7189293,4592508771
Bilinmeyen Hospital,39.9446434,32.7186639,4592511551
Bilinmeyen Hospital,39.9446434,32.7191346,4592511643
Medisun Hastanesi,39.8908191,32.7105063,5065584156
Hacettepe Üniversitesi Hastaneleri,39.9306877,32.8624088,8147891777
Ankara Üniversitesi Tıp Fakültesi Dekanlık ve Morfoloji Kampüsü,39.9306795,32.8580582,8150375339
Kadın Doğum Hastanesi,39.9629747,32.8294212,10077457875
Ortopedi ve Nöroloji Hastanesi,39.9658986,32.8314799,10077457877
"Göğüs, Kalp ve Damar Hastalıkları Hastanesi",39.9671983,32.8306779,10077457878
Genel Hastane,39.9638523,32.8324801,10077457879
Onkoloji Hastanesi,39.961656,32.8302516,10077457880
Kadın Doğum Ve Çocuk Acil,39.9640568,32.8290487,10077470611
Ankara Etlik Şehir Hastanesi,39.9644286,32.8304065,10077473765
Çocuk Hemodiyaliz,39.9656233,32.8290858,10080058032
Hemodiyaliz,39.9641333,32.8321434,10159201121
Tıbbi Gözlem Kliniği,39.9597723,32.8267915,10235939073
Çocuk Hastanesi,39.9649757,32.8284088,10245508803
Psikiyatri Kliniği,39.9612455,32.8239916,10304290231
Ankara Bilkent Şehir Hastanesi Radyasyon Onkolojisi,39.8984326,32.7575882,12019690869
Erdoğan Şahinoğlu A. S. M,39.8799317,32.8002567,12067916822
Ankara Üniversitesi Tıp Fakültesi Cebeci Hastanesi,39.9333314,32.8836893,56697022
Lokman Ekim Akay Hastanesi,39.9125684,32.8577472,67522907
Özel Ulus Hastanesi,39.9538484,32.8530502,217542916
Özel Ata Grup Tıp Merkezi,39.8732775,32.6889154,222270145
Atatürk Eğitim ve Araştırma Hastanesi,39.9013921,32.7616617,222382868
Akropol Hastanesi,39.9104949,32.8171231,225526821
Kudret International Hospital,39.9298714,32.8450942,225661426
Dünya Göz Hastanesi,39.9104521,32.8569099,225730980
Madalyon Psikiyatri Merkezi,39.9035953,32.8592906,225734170
Turgut Özal Üniversitesi Tıp Fakültesi Hastanesi,39.8877677,32.8472606,226285429
Deva Tıp Merkezi,39.980181,32.8222229,227701865
Özel ECM Köroğlu Plastik Estetik ve Rekonstrüktif Cerrahi Merkezi,39.8926412,32.8702759,228356153
Lösev Losante Hastanesi,39.8962854,32.874456,228356193
Özel Satıroğlu Nar Hastanesi,39.896919,32.8774351,228548621
Dr. Abdurrahman Yurtaslan Onkoloji Hastanesi,39.9687691,32.7779055,232383000
Ankara Gazi Mustafa Kemal Mesleki ve Çevresel Hastalıklar Hastanesi,39.9450353,32.8240136,280239178
Özel Yaşam Hastanesi,39.882833,32.8717938,313433603
Yenimahalle Eğitim ve Araştırma Hastanesi,39.9703698,32.6946613,316524218
Zübeyde Hanım Doğum ve Kadın Hastalıkları Hastanesi,39.9644064,32.8396733,324059873
Atatürk Göğüs Hastalıkları ve Cerrahi Hastanesi,40.0016941,32.854332,360595930
Keçiören Eğitim ve Araştırma Hastanesi,40.0020883,32.8569323,360597260
Dr.Sami Ulus Eğt.Arş.Hastanesi,39.9523652,32.8755538,363089070
Etimesgut Devlet Hastahanesi,39.9450932,32.667066,367421534
Bayındır Hastanesi,39.9106628,32.8112279,382475113
Liv Hospital,39.911912,32.8566825,387216160
Ankara Eğitim Ve Araştırma Hastanesi,39.9368769,32.8758314,387217824
Güven Çayyolu Sağlık Kampüsü,39.8660218,32.6852028,387478850
Düzen Çayyolu Polikliniği,39.871819,32.6853488,388047407
FizyoCare Fizik Tedavi ve Rehabilitasyon Merkezi,39.8710536,32.6846575,392401137
Ankara Üniversitesi İbni Sina Hastanesi,39.9321014,32.8589569,404081531
Ankara Meslek Hastalıkları Hastanesi,40.0079039,32.8611095,405321396
TOBB ETÜ Hastanesi,39.9132337,32.8059016,405488845
Özel Keçiören Hastanesi,40.002211,32.8735609,405601395
A LİFE HOSPİTAL,40.0429216,32.9063771,406194563
Özel Veni Vidi Mamak Hastanesi,39.9199634,32.9081261,406914944
Numune Hastanesi Mamak Semt Polikliniği,39.9284594,32.911405,406937157
Atatürk Eğitim Ve Araştırma Hastanesi Semt Polikliniği,39.9117512,32.825822,417670214
Gazi Üniversitesi Hastanesi,39.9338421,32.8231193,419244222
Medicana Ankara,39.9101306,32.7996409,422223198
Gülhane Eğitim ve Araştırma Hastanesi,39.968838,32.8459548,424727157
