isim,enlem,boylam
Kadın Doğum Hastanesi,39.9629747,32.8294212
Ortopedi ve Nöroloji Hastanesi,39.9658986,32.8314799
"Göğüs, Kalp ve Damar Hastalıkları Hastanesi",39.9671983,32.8306779
Genel Hastane,39.9638523,32.8324801
Onkoloji Hastanesi,39.961656,32.8302516
Kadın Doğum Ve Çocuk Acil,39.9640568,32.8290487
Ankara Etlik Şehir Hastanesi,39.9644286,32.8304065
Çocuk Hemodiyaliz,39.9656233,32.8290858
Hemodiyaliz,39.9641333,32.8321434
Tıbbi Gözlem Kliniği,39.9597723,32.8267915
Çocuk Hastanesi,39.9649757,32.8284088
Psikiyatri Kliniği,39.9612455,32.8239916
Dr. Abdurrahman Yurtaslan Onkoloji Hastanesi,39.9687691,32.7779055
Ankara Gazi Mustafa Kemal Mesleki ve Çevresel Hastalıklar Hastanesi,39.9450353,32.8240136
Yenimahalle Eğitim ve Araştırma Hastanesi,39.9703698,32.6946613
Zübeyde Hanım Doğum ve Kadın Hastalıkları Hastanesi,39.9644064,32.8396733
TOBB ETÜ Hastanesi,39.9132337,32.8059016
Gazi Üniversitesi Hastanesi,39.9338421,32.8231193
İsimsiz,39.9636615,32.8005691
Ankara Etlik Şehir Hastanesi,39.9636744,32.8278009
Beştepe Devlet Hastanesi,39.9295366,32.8153922
Medical Park Ankara Hastanesi,39.9665566,32.7094978
İsimsiz,39.9503244,32.7161555
Beştepe Aile Sağlığı Merkezi,39.9225984,32.8059329
Yeni Batı 2 Aile Sağlığı Merkezi,39.9832711,32.6599008
Fizik Tedavi ve Rehabilitasyon Hastanesi,39.964659,32.8226394
