isim,enlem,boylam
Tivmaş,39.9137865,32.8046281
Altunbilekler,39.9780738,32.7085035
GİMA,39.9465338,32.7294584
Çağdaş Market,39.9726807,32.7097747
Tivmas,39.940362,32.789176
Yunus Market,39.966823,32.7040002
Şok,39.9646551,32.8111971
BİM,39.9718996,32.7081015
A101,39.9727502,32.7166958
Bildirici,39.9545936,32.7861472
Ankamar,39.9820693,32.6955198
Çağdaş Market,39.9557428,32.7997408
Lokman Hekim,39.9902321,32.7999732
Afıyet Fırın,39.9920895,32.7999936
Yunus,39.9691514,32.8079359
Celikler,39.9692659,32.8086434
Akyurt,39.9691675,32.8163629
EFOR,39.9907011,32.7988777
Altunbilekler,39.9789131,32.7248612
Şok,39.9695498,32.7831076
A101,39.9698183,32.786675
BİM,39.9726818,32.7908223
A101,39.9770242,32.8041854
Şok,39.976745,32.8038515
BİM,39.9683431,32.7994408
A101,39.9866456,32.7865048
Şok,39.9734126,32.7908088
A101,39.9941797,32.7008156
Bildirici,39.9835406,32.7632127
BİM,39.9861873,32.7655677
BİM,39.9607631,32.7147487
Kardelen Taş Fırın,39.9660835,32.8050882
BİM,39.965363,32.7067168
Altunbilekler,39.9888575,32.70849
BİM,39.9656547,32.8024751
Altunbilekler,39.9748912,32.7818401
Soykan,39.9933925,32.6915831
BİM,39.9913731,32.698337
Makro Market,39.9462102,32.7668899
A101,39.9764504,32.795281
Şok,39.9760895,32.7958005
BİM,39.9761482,32.7980448
BİM,39.9637006,32.7355961
Ankor Market,40.0072432,32.6222504
BİM,39.9696819,32.7009954
Şok,39.9876317,32.6894914
A101,39.9911764,32.6929749
BİM,39.9543126,32.7259807
A101,39.9505871,32.72783
Migros,39.9658231,32.8126828
BİM,39.9651765,32.8104589
zararsızlar gıda,39.9575664,32.7697022
ÜÇER SAKATAT,39.9516773,32.7696588
A101,39.9236134,32.8054306
Şok,39.9562469,32.8332229
A101,39.9559814,32.8347182
Migros,39.9598443,32.7129965
Şok,39.9599451,32.7127725
BİM,39.9600044,32.7125588
Çağdaş Market,39.9607852,32.7096807
BİM,39.9574895,32.8350974
BİM,39.9677299,32.7899335
Migros,39.9628253,32.7708726
BİM,39.9646254,32.7890357
A101,39.966117,32.7886066
A101,39.9585499,32.7889561
Seç Market,39.9652375,32.7833337
Migros,39.9888682,32.8010304
File Market,39.9851645,32.8101342
Akyurt Market,39.9889024,32.8004604
A101,39.9551069,32.8010361
Migros,39.9498692,32.8309194
A101,39.9582241,32.6902852
Şok,39.984634,32.8066572
BİM,39.9850312,32.8081636
Çağdaş Market,39.947424,32.7393939
Şok,39.9552034,32.7416164
A101,39.9531877,32.792277
BİM,39.967487,32.7345083
BİM,39.9696666,32.7442354
A101,39.9697546,32.745536
A101,39.9663333,32.7037774
BİM,39.9754827,32.7344635
Türkiye Tarım Kredi Kooperatif Market,39.9336065,32.8227975
BİM,39.9741879,32.7742157
Türkiye Tarım Kredi Kooperatif Market,39.974178,32.7749282
Şok,39.9880998,32.787742
BİM,39.9880632,32.7884689
A101,39.9635245,32.7350491
Şok,39.9668002,32.7835022
BİM,39.9885039,32.8012099
BİM,39.9674442,32.7837791
A101,39.984665,32.7719389
A101,39.9609678,32.7913951
Ercanlar Market,39.9970466,32.7449771
A101,39.9600944,32.7122627
BİM,39.9540625,32.7373989
Türkiye Tarım Kredi Kooperatif Market,39.9538898,32.7370984
Çağdaş,39.9575691,32.7343561
File Market,40.0058891,32.6478605
A101,40.0054065,32.6482547
BİM,40.0062574,32.6491648
BİM,39.971278,32.7763951
Şok,39.9712748,32.7764812
BİM,39.9737401,32.6612636
File,39.9868277,32.6572539
Akyurt,39.9864488,32.6911824
NevGross,39.9544001,32.7594589
Halıcıoğlu Market,39.9426277,32.813602
Akyurt Market,39.9611929,32.7890426
Altunbilekler,39.9917655,32.6918893
Akyurt Market,39.9846366,32.8065962
