isim,enlem,boylam,osm_id
Akköprü,39.9515913,32.834168,412341358
Atatürk Kültür Merkezi,39.9435727,32.8451553,412341361
Macunköy,39.9718746,32.7666244,413398214
Hastane,39.9691716,32.7834458,610320351
Yenimahalle,39.9619089,32.8045448,610320358
İvedik,39.9572395,32.8170492,610320364
Sıhhiye,39.9281643,32.8550777,670243216
Ulus,39.9392197,32.8506708,670243519
Demetevler,39.9655407,32.7935884,670245629
OSTİM,39.9702293,32.7449331,670246271
Emek,39.9232031,32.8148986,670252468
Bahçelievler,39.9311256,32.8199646,1437395978
Beşevler,39.9326548,32.8288782,1437395982
Anadolu/Anıtkabir,39.9347287,32.8373663,2400068302
İstanbul Yolu,39.9796442,32.6627671,2588336399
Batı Merkez,39.9677059,32.7153974,2588377331
Botanik,39.9807579,32.6941504,2588377342
Ümitköy,39.9053491,32.7078663,2715588436
Bilkent,39.907552,32.7654021,2715588449
Beytepe,39.9062214,32.7332714,2715588455
MTA,39.9088993,32.7963315,2715588472
Koru,39.886843,32.6863129,2715588478
ODTÜ,39.9083599,32.7845691,2715588508
Tarım Bakanlığı-Danıştay,39.9069407,32.750084,2715588517
Dikimevi,39.9325882,32.8780219,2722447843
Kurtuluş,39.9283131,32.8684395,2722447845
AŞTİ,39.9182467,32.8143741,2722494903
Demirtepe,39.9257178,32.8476875,4347223415
Kolej,39.9234186,32.861441,4540821444
Maltepe,39.9323856,32.8426667,4544835059
Belediye,39.9779333,32.8682339,4592026953
Mecidiye,39.983749,32.8753776,4592026960
Kuyubaşı,39.9903583,32.8755143,4592030298
Duygu Eczanesi,39.9998417,32.8703296,4592030313
Dışkapı,39.955386,32.8587618,4597987421
ASKİ,39.9477148,32.8504913,4597987424
Mesa,39.9716935,32.7030788,5322442817
Batıkent,39.9681734,32.7267398,5388669628
15 Temmuz Kızılay Millî İrade,39.920537,32.8539508,6554580491
Çayyolu,39.8978291,32.6910711,7481815085
Batı Merkez,39.9677178,32.7153226,8100388143
Necatibey,39.9150973,32.8443864,8231524673
Millî Kütüphane,39.9152297,32.8272158,8231524677
Söğütözü,39.910638,32.8081227,8231524680
ASKİ,39.9478098,32.8503224,9261381500
Dışkapı,39.9555083,32.8585713,9261381501
Belediye,39.9780784,32.8681769,9261381503
Mecidiye,39.9837613,32.8751775,9261381505
Kuyubaşı,39.9902911,32.8751242,9261381506
Dutluk,39.9995399,32.8704178,9261381507
Şehitler,39.9962226,32.8609972,9261381509
ASKİ,39.9477975,32.8504836,9261381510
Dışkapı,39.9554587,32.8586755,9261381511
Meteoroloji,39.9663951,32.8639206,9261381512
Belediye,39.9779993,32.8682013,9261381513
Mecidiye,39.9837526,32.8752968,9261381514
Kuyubaşı,39.9903649,32.8753538,9261381515
Dutluk,39.9997261,32.8703472,9261381516
Abidin Paşa,39.9296829,32.8883747,9828505028
Aşık Veysel,39.9258988,32.8963022,9828505047
Tuzluçayır,39.9235402,32.903569,9828505072
General Zeki Doğan,39.9176302,32.9109723,9828505087
Fahri Korutürk,39.911671,32.9160858,9828505134
Cengizhan,39.901201,32.9190449,9828505162
Akşemsettin,39.8958446,32.9241966,9828505200
Natoyolu,39.8919347,32.9344054,9828505218
Sanatoryum,40.003552,32.8534592,9834000455
Ufuktepe,40.0145969,32.8583083,9834000456
Forum,40.0150163,32.8347019,9834000470
Ovacık,40.0194026,32.8476036,9834000472
Esat,39.9093237,32.8597262,9834000947
Kuğulu,39.9018111,32.8598307,9834000948
Dikmen Vadisi,39.8967841,32.844129,9834000950
Öveçler,39.8862183,32.8253992,9834000951
Dikmen,39.8818995,32.8365507,9834000952
Malazgirt,39.8726283,32.8312733,9834000953
Keklik Pınarı,39.8681102,32.8219144,9834000954
Akpınar,39.8585287,32.8150023,9834000955
Gar,39.9339453,32.8425824,9836027180
Adliye,39.9305582,32.850394,9836027181
Konutkent,39.8785728,32.6754636,9838414554
Başkent Üniversitesi,39.8838872,32.6575775,9838414568
Çetin Emeç,39.8954111,32.8312655,10724418208
Alsancak,39.9300555,32.6547998,12453188242
İlkbahar Mahallesi,39.8565852,32.8527474,12748869525
