isim,enlem,boylam
Ümit Kaplan Özel Eğitim Meslek Okulu,39.9538108,32.7962507
Nasrettin Hoca Ortaokulu,39.9546547,32.7958441
Şevket Raşit Hatipoğlu Anadolu Lisesi,39.9663085,32.7786058
Gazi Üniversitesi Tıp Fakültesi Dekanlığı,39.9329774,32.8224376
Ostim Teknik Üniversitesi,39.9691229,32.7436514
Gazi Üniversitesi Taşkent Binası,39.939325,32.8185458
Doğa Koleji Ankara Batıkent Kampüsü,39.9654808,32.7091141
Şehit Özkan Özendi Ortaokulu,39.9772811,32.7073657
Kardelen Ortaokulu,39.9753483,32.7143412
Batıkent Lisesi,39.9668847,32.7241442
Celal Yardımcı Anadolu Lisesi,39.9806531,32.7109964
Müjgan Karaçalı İlkokulu,39.968105,32.6992451
Prof. Dr. Mehmet Sağlam Ortaokulu,39.9654132,32.7098826
Ahmet Hamdi Tanpınar İlköğretim Okulu,39.9592222,32.7051514
Ergazi İlköğretim Okulu,39.9559349,32.714602
Mimar Sinan İlköğretim Okulu,39.9591142,32.7940495
Polis Koleji,39.9509119,32.783646
Harzemşahlar İlkokulu,39.9525011,32.7862109
Alparslan Anadolu Lisesi,39.9557156,32.7862731
Orhan Gazi İlkokulu,39.9496995,32.7787783
Mehmet Emin Yurdakul Ortaokulu,39.9565796,32.7862298
Ankara Atatürk Anadolu Lisesi,39.9340353,32.817367
İsmail Erez İlköğretim Okulu,39.9633867,32.7915486
Demetevler İlköğretim Okulu,39.9632321,32.789753
Tevfik İleri Anadolu İmam Hatip Lisesi,39.9431443,32.8237869
Tevfik İleri Anadolu İmam Hatip Lisesi,39.9433556,32.8223591
Emniyetçiler İlkokulu,39.9443266,32.8191067
Gazi Ortaokulu,39.9423056,32.8095158
Kent Koop İlkokulu,39.9649769,32.724608
Batıkent Şehit Erdal Çetin Ortaokulu,39.9595302,32.7242546
Barbaros İlköğretim Okulu,39.9651746,32.8148716
Türkan Azmi Köksoy İlkokulu,39.962819,32.6937586
Kariyer Koleji İlköğretim,39.9882738,32.6926682
Kariyer Koleji Lise,39.9897601,32.6915399
Nermin Mehmet Çekiç Anadolu Lisesi,39.9636399,32.7005116
Kürşat Bey İlkokulu,39.9750485,32.7016507
İsimsiz,40.0420746,32.7818867
İsimsiz,40.0343457,32.7941917
Mustafa Azmi Doğan Anadolu Lisesi,39.9659233,32.7731832
İsimsiz,39.9660839,32.7741365
İsimsiz,39.9724384,32.7798126
İsimsiz,39.9793806,32.7873187
Yahya Çavuş İlkokulu,39.975794,32.7264486
İsimsiz,39.9758147,32.7971226
