isim,enlem,boylam
Cumhuriyet Fırını,39.9575254,32.7004355
Saklıbahçe,39.9148117,32.8044537
Çiftlik Merkez Lokantası,39.9372027,32.7976644
Meşhur İnegöl Köfte,39.9654898,32.8115566
Cumhuriyet Lezzet Lokantası,39.9813023,32.6890024
"Batı Park Balo, Nikah Salonu",39.94568,32.7284807
Mevlana,39.9697719,32.8088439
kokoreç,39.9698882,32.8088953
My Döner,39.9916046,32.7998071
Pide V Kebap Salonu,39.9587006,32.8343514
Pizza Time,39.9873292,32.8026948
Tolga Balıkçilık,39.9694042,32.7994117
Doy Doy Pide & Kebap Salonu,39.9653866,32.7833842
Erzurum Çağ Kebabı,39.9638676,32.7828779
Develi Vip Pide & Kebap Salonu,39.9620446,32.781063
Çalıkuşu,39.96553,32.8105788
Ankara Hamsi,39.9303677,32.816351
anzelha,39.9821669,32.6894608
ŞAN İSKENDER,39.9494877,32.7688123
NAR RESTAURANT,39.9489945,32.7686646
Baran Restaurant,39.9669351,32.7368333
Urfa Kervan Pide ve Kebap Salonu,39.9669721,32.808963
Özler Döner,39.9662286,32.8091128
Ekrem Coşkun Döner,39.9660778,32.8102077
Otantik,40.0005476,32.7662528
Özlem Pide Restoran,39.9231635,32.8057219
Ekşi Maya,39.922985,32.8039266
Niyokki Armada,39.9130099,32.8083383
Urfalım,39.9562562,32.8329078
Umut Döner,39.9570071,32.833684
Kavurmacı Hacı,39.9585821,32.8343541
Mis Gurme Ev Yemekleri,39.9584839,32.8342883
Meşhur Adıyaman Çiğköftecisi Ömer Aybak,39.9583678,32.8342196
"Çılgın Köfteci, Köfte, Pide - Kebap Salonu",39.9557624,32.8341073
Tuğram Yufka,39.9579846,32.8330464
Elvan Pide ve Kebap Salonu,39.9558992,32.8322599
Köseoğlu çöp şiş,39.9854558,32.7431943
Wedding in Anka,39.9391129,32.7880199
Dayı Kürek Lahmacun,39.9608908,32.7094594
Merkez Lokantası,39.9674409,32.7914014
Yaprak Dönercisi,39.9660343,32.7930569
Fevzi Hoca Balık Lokantası,39.9167065,32.8056799
Mustafa Beşler Közde Piliç,39.9729671,32.754106
Halil İbrahim Sofrası,39.9684751,32.7845892
Yağmur Lokantası,39.9697219,32.7849033
Taşfırın Pidem Batıkent,39.9632662,32.7354369
Saygılar Pide & Kebap Salonu,39.9669789,32.7892339
Bigeay 2 Malatya Yöresel Ev Yemekleri,39.9675162,32.7875911
Beyzade Urfalı,39.9678216,32.7879521
Bize Ciğer,39.9917743,32.7461837
Selçuklu Tulumbacısı,39.9915181,32.7453223
Itrizade,39.9895206,32.7408961
İvedi Döner,39.9899875,32.7403142
Dönerci Ömer,39.989945,32.7401173
Kanatçı Barbar,39.9899265,32.7400301
Maya Dürüm & Lahmacun,39.9608565,32.7095321
Usul-ü Hatay,39.9610149,32.7093373
Hacegan Sofrası,39.9669391,32.7973188
YE-AN Pide,39.9462722,32.7676686
Mengenli Et,39.9462496,32.7666142
Yandım Ali Kafe & Restoran,39.9589286,32.8376929
Kumrucum,39.9685607,32.8191578
Köfteci Yusuf,39.9622222,32.7693185
Pizza IL Forno,39.9702825,32.7140717
Saké Sushi Dining Cocktail Atlantis,39.9700904,32.7141218
ATEŞHAN ET KEBAP DÖNER,39.9783014,32.6855202
