isim,enlem,boylam,osm_id
GİSAM,39.9004916,32.7771767,529107591
"İktisadi, İdari ve Sosyal Bilimler Fakültesi (A)",39.8676807,32.7494697,2052493393
İnsani Bilimler ve Edebiyat Fakültesi (H),39.8680658,32.7499071,2052493442
T Binası,39.8683396,32.7492981,2052493546
Mithat Çoruh Amfisi ve Sınıflar (EB),39.8714861,32.7497843,2060227162
Mühendislik Fakültesi (EA),39.8711166,32.7499445,2726307433
Elektrik ve Elektronik Mühendisliği Bölümü (EE),39.8720842,32.7507089,2726307435
Hukuk Fakültesi & Bilgisayar Merkezi (B),39.8686935,32.7481285,2726319215
G Binası,39.8686608,32.7499208,2726360483
"Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi (FD)",39.8664374,32.7492367,2726407232
"Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi (FF)",39.8656591,32.7487617,2726409636
NA,39.8729222,32.763482,2726449384
LC,39.8693669,32.7502266,2726449386
LA,39.8693772,32.7496574,2726449389
LB,39.8691322,32.7499365,2726449392
NB,39.8732969,32.7629027,2726455294
NC,39.8727781,32.7627417,2726455296
İngiliz Dili Meslek Yüksekokulu (N),39.8729261,32.7630368,2726455299
Arkeometri Bölümü,39.8944868,32.7826273,3374115333
Modern Diller Bölümü,39.8943822,32.7826459,3374115334
Uygulamalı Matematik Enstitüsü,39.8942713,32.7826604,3374115335
Odtü Jeodezi ve Coğrafi Bilgi Teknolojileri Bölümü (GGIT),39.8872147,32.7841264,3396831685
RA,39.8745567,32.7612287,4326349628
RB,39.8745979,32.7617973,4326349629
RC,39.8743508,32.7618563,4326349630
RD,39.8742026,32.7620146,4326349631
RE,39.8748181,32.7615639,4326349632
Uygulamalı Teknoloji ve İşletmecilik Yüksekokulu,39.8744798,32.7618459,4326349633
Turizm ve Otelcilik Meslek Yüksekokulu,39.8747103,32.7617547,4326349637
Öğrenci İşleri Daire Başkanlığı,39.8947195,32.784147,4623064866
İstatistik Bölümü,39.8934165,32.7817908,4627537430
Hacettepe Üniversitesi Sıhhiye Kampüsü,39.9313263,32.862563,8147891782
Bilkent Fizik Bölümü,39.8678467,32.7481953,9869907043
Bilkent Matematik Bölümü,39.8675362,32.7485489,9869907044
Hacettepe University Vaccine Institute,39.9328524,32.8618801,10579160401
Ahşap Teknolojileri,39.8689984,32.7416425,11238075931
Hacettepe Üniversitesi İletişim Fakültesi,39.8727931,32.7365691,12228285006
Toprak Bölümü,39.9627192,32.8612186,12298874001
Bahçe Bitkileri Bölümü,39.9637747,32.8636133,12299042301
Tarımsal Yapılar ve Sulama Bölümü,39.9620776,32.860762,12348007315
Süt Teknolojisi Bölümü,39.9582071,32.8617468,12395793801
Gazi Üniversitesi Mimarlık Fakültesi,39.9316657,32.8461792,12857930964
Gazi Üniversitesi,39.9396863,32.8198664,10594007
Bilkent Üniversitesi,39.8703657,32.7536334,28229642
Matematik Bölümü,39.8956954,32.7822556,56753995
TOBB Ekonomi ve Teknoloji Üniversitesi,39.9201188,32.7996626,61403953
Ankara Üniversitesi Cebeci Yerleşkesi,39.9279382,32.8736492,103909120
Ankara Hacı Bayram Veli Üniversitesi İletişim Fakültesi,39.9191923,32.8149697,217555105
Bilinmeyen Universite,39.8731955,32.7459228,245475148
Hacı Bayram Veli Üniversitesi,39.9423291,32.8187997,281027260
Fizik Bölümü,39.8946543,32.7825033,329056271
Bilinmeyen Universite,39.8942898,32.7816218,330444150
Başkent Üniversitesi,39.8873477,32.6545854,332231643
Hacettepe Üniversitesi,39.8684252,32.7353439,385113723
Yıldırım Beyazıt Üniversitesi Etlik Millî İrade Yerleşkesi (Doğu Kampüsü),39.9720488,32.8249837,385146998
Çankaya Üniversitesi Balgat Kampüsü,39.9022396,32.7953394,404864533
Gazi Üniversitesi Maltepe Yerleşkesi,39.931246,32.8459853,404870021
Bilinmeyen Universite,39.9301267,32.85893,404871740
Bilinmeyen Universite,39.9300625,32.8571187,404871742
Ankara Üniversitesi Keçiören Yerleşkesi,39.9961147,32.8621724,405419902
Ahmet Yesevi Mesleki ve Teknik Anadolu Lisesi,39.9643119,32.9004283,421949068
Ankara Üniversitesi Veteriner Fakültesi,39.9568783,32.8620225,425528581
