isim,enlem,boylam
Ankara Üniversitesi,39.9367,32.8303
Gazi Üniversitesi,39.87393,32.73989
Hacettepe Üniversitesi,39.91781,32.84006
Ankara Yıldırım Beyazıt Üniversitesi,40.06303,32.9617
Ankara Sosyal Bilimler Üniversitesi,39.92888,32.85901
Ankara Müzik ve Güzel Sanatlar Üniversitesi,39.91603,32.77508
Hacı Bayram Veli Üniversitesi,39.93641,32.85635
Atılım Üniversitesi,39.8176,32.85233
Başkent Üniversitesi,39.95851,32.54937
İhsan Doğramacı Bilkent Üniversitesi,39.8675,32.7426
Çankaya Üniversitesi,39.90278,32.70435
Lokman Hekim Üniversitesi,39.93663,32.82816
TED Üniversitesi,39.9079,32.8517
TOBB ETÜ,39.9092,32.83214
Türk Hava Kurumu Üniversitesi,39.92755,32.62869
Ufuk Üniversitesi,39.80352,32.83752
